"Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Lloguer_mitja","Preu"
2022,1,8,"Nou Barris",49,"Canyelles","Lloguer mitjà mensual (Euros/mes)","655.0"
2022,1,8,"Nou Barris",50,"les Roquetes","Lloguer mitjà mensual (Euros/mes)","641.2"
2022,1,8,"Nou Barris",51,"Verdun","Lloguer mitjà mensual (Euros/mes)","652.7"
2022,1,8,"Nou Barris",52,"la Prosperitat","Lloguer mitjà mensual (Euros/mes)","687.2"
2022,1,8,"Nou Barris",53,"la Trinitat Nova","Lloguer mitjà mensual (Euros/mes)","591.0"
2022,1,8,"Nou Barris",54,"Torre Baró","Lloguer mitjà mensual (Euros/mes)","NA"
2022,1,8,"Nou Barris",55,"Ciutat Meridiana","Lloguer mitjà mensual (Euros/mes)","517.7"
2022,1,8,"Nou Barris",56,"Vallbona","Lloguer mitjà mensual (Euros/mes)","NA"
2022,1,9,"Sant Andreu",57,"la Trinitat Vella","Lloguer mitjà mensual (Euros/mes)","616.9"
2022,1,9,"Sant Andreu",58,"Baró de Viver","Lloguer mitjà mensual (Euros/mes)","NA"
2022,1,9,"Sant Andreu",59,"el Bon Pastor","Lloguer mitjà mensual (Euros/mes)","702.6"
2022,1,9,"Sant Andreu",60,"Sant Andreu","Lloguer mitjà mensual (Euros/mes)","800.9"
2022,1,9,"Sant Andreu",61,"la Sagrera","Lloguer mitjà mensual (Euros/mes)","751.5"
2022,1,9,"Sant Andreu",62,"el Congrés i els Indians","Lloguer mitjà mensual (Euros/mes)","795.8"
2022,1,9,"Sant Andreu",63,"Navas","Lloguer mitjà mensual (Euros/mes)","847.2"
2022,1,10,"Sant Martí",64,"el Camp de l'Arpa del Clot","Lloguer mitjà mensual (Euros/mes)","841.5"
2022,1,10,"Sant Martí",65,"el Clot","Lloguer mitjà mensual (Euros/mes)","861.2"
2022,1,10,"Sant Martí",66,"el Parc i la Llacuna del Poblenou","Lloguer mitjà mensual (Euros/mes)","1089.2"
2022,1,10,"Sant Martí",67,"la Vila Olímpica del Poblenou","Lloguer mitjà mensual (Euros/mes)","1305.0"
2022,1,10,"Sant Martí",68,"el Poblenou","Lloguer mitjà mensual (Euros/mes)","967.9"
2022,1,10,"Sant Martí",69,"Diagonal Mar i el Front Marítim del Poblenou","Lloguer mitjà mensual (Euros/mes)","964.7"
2022,1,10,"Sant Martí",70,"el Besòs i el Maresme","Lloguer mitjà mensual (Euros/mes)","796.9"
2022,1,10,"Sant Martí",71,"Provençals del Poblenou","Lloguer mitjà mensual (Euros/mes)","939.2"
2022,1,10,"Sant Martí",72,"Sant Martí de Provençals","Lloguer mitjà mensual (Euros/mes)","796.4"
2022,1,10,"Sant Martí",73,"la Verneda i la Pau","Lloguer mitjà mensual (Euros/mes)","733.9"
2022,1,1,"Ciutat Vella",1,"el Raval","Lloguer mitjà per superfície (Euros/m2 mes)","15.5"
2022,1,1,"Ciutat Vella",2,"el Barri Gòtic","Lloguer mitjà per superfície (Euros/m2 mes)","17.2"
2022,1,1,"Ciutat Vella",3,"la Barceloneta","Lloguer mitjà per superfície (Euros/m2 mes)","21.3"
2022,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Lloguer mitjà per superfície (Euros/m2 mes)","15.3"
2022,1,2,"Eixample",5,"el Fort Pienc","Lloguer mitjà per superfície (Euros/m2 mes)","13.5"
2022,1,2,"Eixample",6,"la Sagrada Família","Lloguer mitjà per superfície (Euros/m2 mes)","15.1"
2022,1,2,"Eixample",7,"la Dreta de l'Eixample","Lloguer mitjà per superfície (Euros/m2 mes)","14.2"
2022,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Lloguer mitjà per superfície (Euros/m2 mes)","14.3"
2022,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Lloguer mitjà per superfície (Euros/m2 mes)","14.1"
2022,1,2,"Eixample",10,"Sant Antoni","Lloguer mitjà per superfície (Euros/m2 mes)","14.4"
2022,1,3,"Sants-Montjuïc",11,"el Poble Sec","Lloguer mitjà per superfície (Euros/m2 mes)","14.7"
2022,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Lloguer mitjà per superfície (Euros/m2 mes)","NA"
2022,1,3,"Sants-Montjuïc",13,"la Marina de Port","Lloguer mitjà per superfície (Euros/m2 mes)","10.4"
2022,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Lloguer mitjà per superfície (Euros/m2 mes)","13.3"
2022,1,3,"Sants-Montjuïc",15,"Hostafrancs","Lloguer mitjà per superfície (Euros/m2 mes)","13.8"
2022,1,3,"Sants-Montjuïc",16,"la Bordeta","Lloguer mitjà per superfície (Euros/m2 mes)","12.3"
2022,1,3,"Sants-Montjuïc",17,"Sants - Badal","Lloguer mitjà per superfície (Euros/m2 mes)","13.3"
2022,1,3,"Sants-Montjuïc",18,"Sants","Lloguer mitjà per superfície (Euros/m2 mes)","13.7"
2022,1,4,"Les Corts",19,"les Corts","Lloguer mitjà per superfície (Euros/m2 mes)","14.3"
2022,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Lloguer mitjà per superfície (Euros/m2 mes)","14.1"
2022,1,4,"Les Corts",21,"Pedralbes","Lloguer mitjà per superfície (Euros/m2 mes)","14.7"
2022,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Lloguer mitjà per superfície (Euros/m2 mes)","12.3"
2022,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Lloguer mitjà per superfície (Euros/m2 mes)","17.5"
2022,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Lloguer mitjà per superfície (Euros/m2 mes)","17.6"
2022,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Lloguer mitjà per superfície (Euros/m2 mes)","14.2"
2022,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Lloguer mitjà per superfície (Euros/m2 mes)","14.5"
2022,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Lloguer mitjà per superfície (Euros/m2 mes)","14.8"
2022,1,6,"Gràcia",28,"Vallcarca i els Penitents","Lloguer mitjà per superfície (Euros/m2 mes)","13.6"
2022,1,6,"Gràcia",29,"el Coll","Lloguer mitjà per superfície (Euros/m2 mes)","13.4"
2022,1,6,"Gràcia",30,"la Salut","Lloguer mitjà per superfície (Euros/m2 mes)","13.4"
2022,1,6,"Gràcia",31,"la Vila de Gràcia","Lloguer mitjà per superfície (Euros/m2 mes)","15.4"
2022,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Lloguer mitjà per superfície (Euros/m2 mes)","14.2"
