Step,AgentID,physiological,safety,belonging,esteem,wealth,actions,status
6,1,"[0.8, 0.8, 0.6, 0.8]","[0.8, 0.8, 0.8, 0.8]","[0.8, 0.6, 0.6]","[0.6, 0.6, 0.6434642270846359]",500.0,,homeless
6,2,"[0.6, 0.612085096526863, 0.8, 0.6]","[0.8, 0.6, 0.8, 1.0]","[0.6, 0.8, 0.8]","[0.8, 0.6, 0.6066691222374816]",1700.0,,student
6,3,"[0.8, 0.6013952656260126, 0.8, 0.6]","[0.6, 0.6, 0.8, 0.8]","[0.6, 0.6, 0.6]","[0.8, 0.6, 0.8]",1937.1666666666667,,unemployed
6,4,"[0.6661276310328147, 0.8, 0.6, 0.6192749805693563]","[0.8, 1.0, 1.0, 0.6]","[0.8, 0.8, 0.8]","[0.8, 1.0, 0.8]",4478.358333333333,,employed
7,0,"[0.6649959787669328, 0.6535668987985207, 0.7435537750919684, 0.6]","[0.6, 0.8, 0.711787099715443, 0.8]","[0.8, 0.6, 0.6]","[0.6, 0.8, 0.8]",833.05,,retired
7,1,"[0.8, 0.8, 0.6, 0.8]","[0.8, 0.8, 0.8, 0.8]","[0.8, 0.6, 0.6]","[0.6, 0.6, 0.6434642270846359]",500.0,,homeless
7,2,"[0.6, 0.612085096526863, 0.8, 0.6]","[0.8, 0.6, 0.8, 1.0]","[0.6, 0.8, 0.8]","[0.8, 0.6, 0.6066691222374816]",1700.0,,student
7,3,"[0.8, 0.6013952656260126, 0.8, 0.6]","[0.6, 0.6, 0.8, 0.8]","[0.6, 0.6, 0.6]","[0.8, 0.6, 0.8]",1937.1666666666667,,unemployed
7,4,"[0.6661276310328147, 0.8, 0.6, 0.6192749805693563]","[0.8, 1.0, 1.0, 0.6]","[0.8, 0.8, 0.8]","[0.8, 1.0, 0.8]",4478.358333333333,,employed
8,0,"[0.6649959787669328, 0.6535668987985207, 0.7435537750919684, 0.6]","[0.6, 0.8, 0.711787099715443, 0.8]","[0.8, 0.6, 0.6]","[0.6, 0.8, 0.8]",833.05,,retired
8,1,"[0.8, 0.8, 0.6, 0.8]","[0.8, 0.8, 0.8, 0.8]","[0.8, 0.6, 0.6]","[0.6, 0.6, 0.6434642270846359]",500.0,,homeless
8,2,"[0.6, 0.612085096526863, 0.8, 0.6]","[0.8, 0.6, 0.8, 1.0]","[0.6, 0.8, 0.8]","[0.8, 0.6, 0.6066691222374816]",1700.0,,student
8,3,"[0.8, 0.6013952656260126, 0.8, 0.6]","[0.6, 0.6, 0.8, 0.8]","[0.6, 0.6, 0.6]","[0.8, 0.6, 0.8]",1937.1666666666667,,unemployed
8,4,"[0.6661276310328147, 0.8, 0.6, 0.6192749805693563]","[0.8, 1.0, 1.0, 0.6]","[0.8, 0.8, 0.8]","[0.8, 1.0, 0.8]",4478.358333333333,,employed
9,0,"[0.6536216824827196, 1.0, 0.8166339353336913, 0.528]","[0.70428, 1.0, 0.8510753126157276, 0.7984]","[0.7450000000000001, 1.0, 0.728]","[0.699, 1.0, 0.932]",833.05,go_home,retired
9,1,"[1.0, 0.7200000000000001, 0.552, 1.0]","[1.0, 0.7992, 0.792, 1.0]","[1.0, 0.597, 0.588]","[1.0, 0.594, 0.6370295848137896]",502.0,beg,homeless
9,2,"[0.591, 1.0, 0.908, 0.5997]","[0.9034, 1.0, 0.9376000000000001, 0.991]","[0.6749999999999999, 1.0, 0.8600000000000001]","[0.8250000000000001, 1.0, 0.6253352977899853]",1700.0,go_home,student
9,3,"[0.7626, 1.0, 0.892, 0.59958]","[0.7039799999999999, 1.0, 0.936, 0.7928000000000001]","[0.651, 1.0, 0.728]","[0.897, 1.0, 0.916]",1937.1666666666667,go_home,unemployed
9,4,"[0.6525569127089736, 1.0, 0.6980000000000001, 0.6188414880829577]","[0.90356, 1.0, 1.0, 0.5988]","[0.8330000000000001, 1.0, 0.924]","[0.857, 1.0, 0.924]",4478.358333333333,go_home,employed
10,0,"[0.6442378880482436, 1.0, 0.8831368811536592, 0.46464]","[0.808434864, 1.0, 0.9902242373031118, 0.7968032]","[0.7010000000000001, 1.0, 0.85344]","[0.7970099999999999, 1.0, 1.0]",833.05,go_home,retired
10,1,"[1.0, 0.6480000000000001, 0.5078400000000001, 0.999]","[1.0, 0.7984008, 0.78408, 0.995]","[1.0, 0.594015, 0.57624]","[1.0, 0.5880599999999999, 0.6306592889656517]",502.0,sleep_street,homeless
10,2,"[0.5837100000000001, 1.0, 1.0, 0.59940015]","[1.0, 1.0, 1.0, 0.982081]","[0.7462499999999999, 1.0, 0.9140000000000001]","[0.8475, 1.0, 0.6402682382319883]",1700.0,go_grocery,student
10,3,"[0.7318571999999999, 1.0, 0.97848, 0.5991602939999999]","[0.8077832339999999, 1.0, 1.0, 0.7856648]","[0.69741, 1.0, 0.85344]","[0.99303, 1.0, 1.0]",1937.1666666666667,go_home,unemployed
10,4,"[0.6414017822467762, 1.0, 0.7891400000000001, 0.6184082990412996]","[1.0, 1.0, 1.0, 0.5976024]","[0.8630300000000001, 1.0, 1.0]","[0.91058, 1.0, 1.0]",4473.358333333333,go_grocery,employed
11,0,"[0.6364962576398009, 1.0, 0.9436545618498299, 0.4088832]","[0.9124647421632, 1.0, 1.0, 0.7952095936000001]","[0.6658000000000001, 1.0, 0.9763712]","[0.8940398999999999, 1.0, 1.0]",828.05,go_grocery,retired
11,1,"[0.82, 0.7932000000000001, 1.0, 0.998001]","[0.9983, 1.0, 1.0, 0.990025]","[0.91, 0.8010449249999999, 1.0]","[0.99, 0.7921793999999999, 1.0]",502.0,sleep_street,homeless
11,2,"[1.0, 0.95, 0.96, 0.809100449925]","[1.0, 0.993, 0.997, 1.0]","[1.0, 0.85, 0.8226000000000001]","[1.0, 0.99, 0.5122145905855907]",1700.0,go_grocery,student
11,3,"[0.7065866183999998, 1.0, 1.0, 0.5987408817941999]","[0.9114100025021998, 1.0, 1.0, 0.7785938168000001]","[0.7396431, 1.0, 0.9763712]","[1.0, 1.0, 1.0]",1932.1666666666667,go_grocery,unemployed
11,4,"[1.0, 0.95, 0.7339002000000001, 0.8279754132319707]","[1.0, 0.999, 0.9992, 0.8064071951999999]","[1.0, 0.85, 0.98]","[1.0, 0.99, 0.98]",4468.358333333333,go_grocery,employed
12,0,"[1.0, 0.92, 0.8587256512833452, 0.569817216]","[1.0, 0.995, 0.999, 1.0]","[1.0, 0.97, 0.9568437759999999]","[1.0, 0.99, 0.99]",823.05,go_grocery,retired
12,1,"[0.6723999999999999, 0.9238800000000001, 1.0, 0.997002999]","[0.9966028899999999, 1.0, 1.0, 0.985074875]","[0.8281000000000001, 1.0, 1.0]","[0.9801, 0.9942576059999998, 1.0]",497.0,go_grocery,homeless
12,2,"[1.0, 0.9025, 0.9216, 1.0]","[1.0, 0.986049, 0.994009, 1.0]","[1.0, 0.7224999999999999, 0.7403400000000001]","[1.0, 0.9801, 0.40977167246847257]",1696.0,go_leisure,student
12,3,"[1.0, 0.95, 0.94, 0.8083217631769439]","[1.0, 0.991, 0.995, 0.9815864724488]","[1.0, 0.87, 0.9568437759999999]","[1.0, 0.99, 0.97]",1927.1666666666667,go_grocery,unemployed
12,4,"[1.0, 0.9025, 0.6825271860000002, 1.0]","[1.0, 0.998001, 0.99840064, 1.0]","[1.0, 0.7224999999999999, 0.9603999999999999]","[1.0, 0.9801, 0.9603999999999999]",4468.358333333333,go_home,employed
13,0,"[1.0, 0.8464, 0.7814403426678441, 0.71143915008]","[1.0, 0.990025, 0.998001, 1.0]","[1.0, 0.9409, 0.9377069004799999]","[1.0, 0.9801, 0.9801]",823.05,go_hospital,retired
13,1,"[1.0, 0.8314920000000001, 0.92, 1.0]","[1.0, 0.999, 0.99, 1.0]","[1.0, 0.995, 0.98]","[1.0, 0.9843150299399998, 0.99]",492.0,go_grocery,homeless
13,2,"[0.9500000000000001, 0.8573749999999999, 0.884736, 0.9995]","[1.0, 0.9791466569999999, 0.991026973, 0.991]","[1.0, 0.6141249999999999, 0.6663060000000001]","[1.0, 0.9702989999999999, 0.3278173379747781]",1692.0,go_leisure,student
13,3,"[1.0, 0.9025, 0.8835999999999999, 1.0]","[1.0, 0.982081, 0.990025, 1.0]","[1.0, 0.7569, 0.9377069004799999]","[1.0, 0.9801, 0.9409]",1927.1666666666667,go_home,unemployed
13,4,"[0.9269999999999999, 1.0, 0.7747502829800003, 0.9993]","[1.0, 1.0, 1.0, 0.998]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",4468.358333333333,go_home,employed
14,0,"[0.825, 1.0, 0.7111107118277382, 1.0]","[0.9988, 1.0, 0.997002999, 1.0]","[0.8, 1.0, 0.9189527624703999]","[0.99, 1.0, 0.9702989999999999]",823.05,go_home,retired
14,1,"[1.0, 0.7483428000000001, 0.8464, 1.0]","[1.0, 0.998001, 0.9801, 1.0]","[1.0, 0.990025, 0.9603999999999999]","[1.0, 0.9744718796405998, 0.9801]",492.0,go_reception_center,homeless
14,2,"[0.9095000000000001, 0.8145062499999999, 0.84934656, 0.9990002500000001]","[1.0, 0.9722926304009999, 0.988053892081, 0.982081]","[1.0, 0.5220062499999999, 0.5996754000000001]","[1.0, 0.96059601, 0.26225387037982245]",1692.0,go_home,student
14,3,"[0.9269999999999999, 1.0, 0.9705839999999999, 0.9993]","[1.0, 1.0, 1.0, 0.991]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",1927.1666666666667,go_home,unemployed
14,4,"[0.8669939999999999, 1.0, 0.8605177631714003, 0.99860049]","[1.0, 1.0, 1.0, 0.996004]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",4463.358333333333,go_grocery,employed
15,0,"[0.7856249999999999, 1.0, 0.7871107477632419, 0.88]","[1.0, 1.0, 1.0, 0.998]","[0.7450000000000001, 1.0, 1.0]","[1.0, 1.0, 1.0]",823.05,go_home,retired
15,1,"[1.0, 0.95350852, 0.960688, 0.999]","[1.0, 1.0, 1.0, 0.995]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",492.0,sleep_street,homeless
15,2,"[0.8416950000000001, 1.0, 0.9553726976, 0.9985007498750001]","[1.0, 1.0, 1.0, 0.9732422709999999]","[1.0, 1.0, 0.67970786]","[1.0, 1.0, 0.349803096303858]",1692.0,go_home,student
15,3,"[0.8669939999999999, 1.0, 1.0, 0.99860049]","[1.0, 1.0, 1.0, 0.982081]","[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]",1922.1666666666667,go_grocery,unemployed
15,4,"[1.0, 0.95, 0.8002815197494023, 1.0]","[1.0, 0.999, 0.9992, 1.0]","[1.0, 0.85, 0.98]","[1.0, 0.99, 0.98]",4458.358333333333,go_grocery,employed
16,0,"[0.7531406249999999, 1.0, 0.8562707804645501, 0.7744]","[1.0, 1.0, 1.0, 0.996004]","[0.7010000000000001, 1.0, 1.0]","[1.0, 1.0, 1.0]",823.05,go_home,retired
16,1,"[0.82, 1.0, 1.0, 0.998001]","[0.9983, 1.0, 1.0, 0.990025]","[0.91, 1.0, 1.0]","[0.99, 1.0, 1.0]",487.0,go_grocery,homeless
16,2,"[0.7867729500000001, 1.0, 1.0, 0.9980014995000627]","[1.0, 1.0, 1.0, 0.9644830905609999]","[1.0, 1.0, 0.7517370740000001]","[1.0, 1.0, 0.4198424770430864]",1688.0,go_leisure,student
16,3,"[1.0, 0.95, 0.94, 1.0]","[1.0, 0.991, 0.995, 1.0]","[1.0, 0.87, 0.98]","[1.0, 0.99, 0.97]",1917.1666666666667,go_grocery,unemployed
16,4,"[1.0, 0.9025, 0.7442618133669442, 1.0]","[1.0, 0.998001, 0.99840064, 1.0]","[1.0, 0.7224999999999999, 0.9603999999999999]","[1.0, 0.9801, 0.9603999999999999]",4458.358333333333,go_home,employed
17,0,"[0.7263410156249999, 1.0, 1.0, 0.681472]","[1.0, 1.0, 1.0, 0.994011992]","[0.6658000000000001, 1.0, 1.0]","[1.0, 1.0, 1.0]",823.05,go_home,retired
17,1,"[1.0, 0.9, 1.0, 1.0]","[1.0, 0.999, 0.99, 1.0]","[1.0, 0.995, 0.98]","[1.0, 0.99, 0.99]",482.0,go_grocery,homeless
